% Datum för påskdagen olika år
% Kolumn 1: År
% Kolumn 2: Månad (1-mars, 2-april)
% Kolumn 3: Datum i månaden
1700 2 11
1701 1 27
1702 2 16
1703 2 8
1704 1 23
1705 2 12
1706 2 4
1707 2 24
1708 2 8
1709 1 31
1710 2 20
1711 2 5
1712 1 27
1713 2 16
1714 2 1
1715 2 21
1716 2 12
1717 1 28
1718 2 17
1719 2 9
1720 1 31
1721 2 13
1722 2 5
1723 1 28
1724 2 16
1725 2 1
1726 2 21
1727 2 13
1728 1 28
1729 2 17
1730 2 9
1731 1 25
1732 2 13
1733 2 5
1734 2 25
1735 2 10
1736 2 1
1737 2 21
1738 2 6
1739 1 29
1740 2 17
1741 2 2
1742 1 25
1743 2 14
1744 2 5
1745 2 18
1746 2 10
1747 2 2
1748 2 14
1749 2 6
1750 1 29
1751 2 11
1752 2 2
1753 2 22
1754 2 14
1755 1 30
1756 2 18
1757 2 10
1758 1 26
1759 2 15
1760 2 6
1761 1 22
1762 2 11
1763 2 3
1764 2 22
1765 2 7
1766 1 30
1767 2 19
1768 2 3
1769 1 26
1770 2 15
1771 1 31
1772 2 19
1773 2 11
1774 2 3
1775 2 16
1776 2 7
1777 1 30
1778 2 19
1779 2 4
1780 1 26
1781 2 15
1782 1 31
1783 2 20
1784 2 11
1785 1 27
1786 2 16
1787 2 8
1788 1 23
1789 2 12
1790 2 4
1791 2 24
1792 2 8
1793 1 31
1794 2 20
1795 2 5
1796 1 27
1797 2 16
1798 2 8
1799 1 24
1800 2 13
1801 2 5
1802 2 18
1803 2 10
1804 2 1
1805 2 14
1806 2 6
1807 1 29
1808 2 17
1809 2 2
1810 2 22
1811 2 14
1812 1 29
1813 2 18
1814 2 10
1815 1 26
1816 2 14
1817 2 6
1818 1 22
1819 2 11
1820 2 2
1821 2 22
1822 2 7
1823 1 30
1824 2 18
1825 2 3
1826 1 26
1827 2 15
1828 2 6
1829 2 19
1830 2 11
1831 2 3
1832 2 22
1833 2 7
1834 1 30
1835 2 19
1836 2 3
1837 1 26
1838 2 15
1839 1 31
1840 2 19
1841 2 11
1842 1 27
1843 2 16
1844 2 7
1845 1 23
1846 2 12
1847 2 4
1848 2 23
1849 2 8
1850 1 31
1851 2 20
1852 2 11
1853 1 27
1854 2 16
1855 2 8
1856 1 23
1857 2 12
1858 2 4
1859 2 24
1860 2 8
1861 1 31
1862 2 20
1863 2 5
1864 1 27
1865 2 16
1866 2 1
1867 2 21
1868 2 12
1869 1 28
1870 2 17
1871 2 9
1872 1 31
1873 2 13
1874 2 5
1875 1 28
1876 2 16
1877 2 1
1878 2 21
1879 2 13
1880 1 28
1881 2 17
1882 2 9
1883 1 25
1884 2 13
1885 2 5
1886 2 25
1887 2 10
1888 2 1
1889 2 21
1890 2 6
1891 1 29
1892 2 17
1893 2 2
1894 1 25
1895 2 14
1896 2 5
1897 2 18
1898 2 10
1899 2 2
1900 2 15
1901 2 7
1902 1 30
1903 2 12
1904 2 3
1905 2 23
1906 2 15
1907 1 31
1908 2 19
1909 2 11
1910 1 27
1911 2 16
1912 2 7
1913 1 23
1914 2 12
1915 2 4
1916 2 23
1917 2 8
1918 1 31
1919 2 20
1920 2 4
1921 1 27
1922 2 16
1923 2 1
1924 2 20
1925 2 12
1926 2 4
1927 2 17
1928 2 8
1929 1 31
1930 2 20
1931 2 5
1932 1 27
1933 2 16
1934 2 1
1935 2 21
1936 2 12
1937 1 28
1938 2 17
1939 2 9
1940 1 24
1941 2 13
1942 2 5
1943 2 25
1944 2 9
1945 2 1
1946 2 21
1947 2 6
1948 1 28
1949 2 17
1950 2 9
1951 1 25
1952 2 13
1953 2 5
1954 2 18
1955 2 10
1956 2 1
1957 2 21
1958 2 6
1959 1 29
1960 2 17
1961 2 2
1962 2 22
1963 2 14
1964 1 29
1965 2 18
1966 2 10
1967 1 26
1968 2 14
1969 2 6
1970 1 29
1971 2 11
1972 2 2
1973 2 22
1974 2 14
1975 1 30
1976 2 18
1977 2 10
1978 1 26
1979 2 15
1980 2 6
1981 2 19
1982 2 11
1983 2 3
1984 2 22
1985 2 7
1986 1 30
1987 2 19
1988 2 3
1989 1 26
1990 2 15
1991 1 31
1992 2 19
1993 2 11
1994 2 3
1995 2 16
1996 2 7
1997 1 30
1998 2 12
1999 2 4
2000 2 23
2001 2 15
2002 1 31
2003 2 20
2004 2 11
2005 1 27
2006 2 16
2007 2 8
2008 1 23
2009 2 12
2010 2 4
2011 2 24
2012 2 8
2013 1 31
2014 2 20
2015 2 5
2016 1 27
2017 2 16
2018 2 1
2019 2 21
2020 2 12
2021 2 4
2022 2 17
2023 2 9
2024 1 31
2025 2 20
2026 2 5
2027 1 28
2028 2 16
2029 2 1
2030 2 21
2031 2 13
2032 1 28
2033 2 17
2034 2 9
2035 1 25
2036 2 13
2037 2 5
2038 2 25
2039 2 10
2040 2 1
2041 2 21
2042 2 6
2043 1 29
2044 2 17
2045 2 9
2046 1 25
2047 2 14
2048 2 5
2049 2 18
2050 2 10
2051 2 2
2052 2 21
2053 2 6
2054 1 29
2055 2 18
2056 2 2
2057 2 22
2058 2 14
2059 1 30
2060 2 18
2061 2 10
2062 1 26
2063 2 15
2064 2 6
2065 1 29
2066 2 11
2067 2 3
2068 2 22
2069 2 14
2070 1 30
2071 2 19
2072 2 10
2073 1 26
2074 2 15
2075 2 7
2076 2 19
2077 2 11
2078 2 3
2079 2 23
2080 2 7
2081 1 30
2082 2 19
2083 2 4
2084 1 26
2085 2 15
2086 1 31
2087 2 20
2088 2 11
2089 2 3
2090 2 16
2091 2 8
2092 1 30
2093 2 12
2094 2 4
2095 2 24
2096 2 15
2097 1 31
2098 2 20
2099 2 12
2100 1 28
2101 2 17
2102 2 9
2103 1 25
2104 2 13
2105 2 5
2106 2 18
2107 2 10
2108 2 1
2109 2 21
2110 2 6
2111 1 29
2112 2 17
2113 2 2
2114 2 22
2115 2 14
2116 1 29
2117 2 18
2118 2 10
2119 1 26
2120 2 14
2121 2 6
2122 1 29
2123 2 11
2124 2 2
2125 2 22
2126 2 14
2127 1 30
2128 2 18
2129 2 10
2130 1 26
2131 2 15
2132 2 6
2133 2 19
2134 2 11
2135 2 3
2136 2 22
2137 2 7
2138 1 30
2139 2 19
2140 2 3
2141 1 26
2142 2 15
2143 1 31
2144 2 19
2145 2 11
2146 2 3
2147 2 16
2148 2 7
2149 1 30
2150 2 12
2151 2 4
2152 2 23
2153 2 15
2154 1 31
2155 2 20
2156 2 11
2157 1 27
2158 2 16
2159 2 8
2160 1 23
2161 2 12
2162 2 4
2163 2 24
2164 2 8
2165 1 31
2166 2 20
2167 2 5
2168 1 27
2169 2 16
2170 2 1
2171 2 21
2172 2 12
2173 2 4
2174 2 17
2175 2 9
2176 1 31
2177 2 20
2178 2 5
2179 1 28
2180 2 16
2181 2 1
2182 2 21
2183 2 13
2184 1 28
2185 2 17
2186 2 9
2187 1 25
2188 2 13
2189 2 5
2190 2 25
2191 2 10
2192 2 1
2193 2 21
2194 2 6
2195 1 29
2196 2 17
2197 2 9
2198 1 25
2199 2 14
2200 2 6
2201 2 19
2202 2 11
2203 2 3
2204 2 22
2205 2 7
2206 1 30
2207 2 19
2208 2 3
2209 1 26
2210 2 15
2211 1 31
2212 2 19
2213 2 11
2214 1 27
2215 2 16
2216 2 7
2217 1 30
2218 2 12
2219 2 4
2220 2 23
2221 2 15
2222 1 31
2223 2 20
2224 2 11
2225 1 27
2226 2 16
2227 2 8
2228 1 23
2229 2 12
2230 2 4
2231 2 24
2232 2 8
2233 1 31
2234 2 20
2235 2 5
2236 1 27
2237 2 16
2238 2 1
2239 2 21
2240 2 12
2241 2 4
2242 2 17
2243 2 9
2244 1 31
2245 2 13
2246 2 5
2247 1 28
2248 2 16
2249 2 1
2250 2 21
2251 2 13
2252 1 28
2253 2 17
2254 2 9
2255 1 25
2256 2 13
2257 2 5
2258 2 25
2259 2 10
2260 2 1
2261 2 21
2262 2 6
2263 1 29
2264 2 17
2265 2 2
2266 1 25
2267 2 14
2268 2 5
2269 2 18
2270 2 10
2271 2 2
2272 2 21
2273 2 6
2274 1 29
2275 2 18
2276 2 2
2277 2 22
2278 2 14
2279 1 30
